Name,address,summary,long,num_ratings,zip,photo,lat,reviews,boro,rating,amenities,type,hours
Neighborhood Community Garden,1123 St Marks Avenue,,-73.932566,6,11213,None Available,40.674524," /AUTHOR: Andre' Roberson /RATING: 4 /TEXT: Nice, hidden neighborhood watering hole!! Breakfast tacos a must! Nice ambience!! /AUTHOR: Jow Cd /RATING: 5 /TEXT: Nice place /AUTHOR: Tom Still /RATING: 3 /TEXT: Ok /AUTHOR: Joel Silly /RATING: 5 /TEXT: Great /AUTHOR: JÃ¶rg Stadel /RATING: 4 /TEXT: alles ok",Brooklyn,3.7,,Garden,unknown
Positive Seeds of Life Garden,558 Snediker Avenue,,-73.899203,0,11207,None Available,40.661248,None Available,Brooklyn,0,,Garden,unknown
O'Neill Triangle,East 161 Street,,-73.911349,15,10451,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAZTAlDczvIcplGuIQ64-1E_PV16-cGhKsz2zNkvB5_4jl9nBYqwyMXNG1QoNOSLZ04t3IC4T4TryrTqaJ5NIDsSUNOhRWUpSs5N0X3zTNFlAg5mZy9XvBLd2AuXBMQ7jvEhCiMCO_Zs6CQZylG_FJnFhgGhQrR19DStuZtCq7m4ZZkxQ7RLWRoQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.823656," /AUTHOR: charles j /RATING: 3 /TEXT: Any green space is a good green space.  This space has a bunch of traffic going by on a couple of sides, and since it's not extremely large, you're near it all.  But, it;s grass, trees and benches.  It's relatively neat, not a ""park"" of garbage or crack.  And there wasn't anything here before I would give 3 stars to. /AUTHOR: Dun Kirk /RATING: 5 /TEXT: Another great place to go if your not in a hurry you will just enjoy the selection of great foods and an relaxing atmosphere. /AUTHOR: Monique Howe /RATING: 1 /TEXT: Ahhh /AUTHOR: Stephanie Gadsden /RATING: 5 /TEXT: My neighborhood, I love it. /AUTHOR: Jennifer Cruz /RATING: 3 /TEXT: Area around boricua college, a lot of people usually on benches.",Bronx,3.2,,Neighborhood Park,unknown
New Dorp Park,8 Street,,-74.118414,13,10306,None Available,40.569786," /AUTHOR: Dragon Bites /RATING: 1 /TEXT: Where's the park gates closed and everything is over grown? /AUTHOR: Travis Wilde /RATING: 3 /TEXT: All well and good with nice paths and grass. Areas in the park intermittently over the next year, but overall if you skirt the anchor fencing, orange hazard barriers, and wooden tree guards, this is a cute little park. /AUTHOR: triduum1 /RATING: 2 /TEXT: It's just a fenced in wood. There is no access. /AUTHOR: Michael DellaValle /RATING: 3 /TEXT: Nice for a walk /AUTHOR: Joseph Sasso /RATING: 4 /TEXT: Nice day out",Staten+Island,3.2,,Park,"['Monday: 6:00 AM â€“ 1:00 AM', 'Tuesday: 6:00 AM â€“ 1:00 AM', 'Wednesday: 6:00 AM â€“ 1:00 AM', 'Thursday: 6:00 AM â€“ 1:00 AM', 'Friday: 6:00 AM â€“ 1:00 AM', 'Saturday: 6:00 AM â€“ 1:00 AM', 'Sunday: 6:00 AM â€“ 1:00 AM']"
John Allen Payne Park,6400 3 Avenue,,-74.023574,0,11220,None Available,40.639775,None Available,Brooklyn,0,,Park,unknown
Conference House Park.R-6,850 Page Avenue,,-74.228166,311,10307,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAajyLAS6G9z61SVxUqp0CaJbDrJWtQMSXhTvCFk7v0_1uC7bC0RKpQD9y-Kh1Gi1MVOQZpBZkAuWV74xAsqmHdDPqgW-l-yk3yAynbu2tl5kX2rDyDv_bIuggrRVTykjKEhBMOLpskyM2gs5lc3pItGg8GhT5VaYsSwZnHt0-XGbnABn_LjgEiw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.502039," /AUTHOR: Daniel Rumbold /RATING: 5 /TEXT: Beautiful historical waterfront site where George Washington tried to negotiate the ending of the Revolutionary War before it began. They have many family friend events, horse riding and hiking trails, and a well enough maintained beach where people fish and often (illegally - not recommend sue to Federal/State Rangers often nearby) have bonfires. Great views of Perth Amboy especially at Sunset.   They are rebuilding the promenade destroyed during Sandy, further improving a beautiful park. While it is really is a trek compared to most parks considering it's location on the Southern Tip of SI, the beauty and amenities make the trip worth it every time.  Great for picnics! /AUTHOR: Nate Adams /RATING: 5 /TEXT: Despite still showing debris some hurricane Sandy this is one of the best parts and best beaches on Staten Island. It is quiet relaxing and out of the way especially on weekdays. It is also a great place to walk your dog or take your kids for a day out and about. /AUTHOR: Joseph Ciuffo /RATING: 5 /TEXT: Conference House is great place to learn about Staten Island's history, how it was founded, the industries started and the farming.  A great place to see and watch wild life, walk along the woodland trails and along the shore lone. /AUTHOR: The Greatest Show On Earth /RATING: 5 /TEXT: Great park with great views of New Jersey. I don't remember the full history but this is the place where George Washington met up with some British soldiers to talk about something to do with the war. This park also has the ""south pole"" which marks the lowest point of New York State /AUTHOR: Joseph LaFemina /RATING: 5 /TEXT: Under construction right now but it's a nice place to walk your dog or go for a walk",Staten+Island,4.5,,Park,unknown
Leave it Better Kids' Garden,1974 Grand Avenue,,-73.910504,4,10453,None Available,40.852319," /AUTHOR: Dominique Bouillon /RATING: 5 /TEXT: The community comes together to grow food, compost, build and socialize at the Leave It Better Kids' Garden. There are 24 bed raised beds for crops and a 3-bin compost system. There are strong community ties with the local schools PS 306, MS 331 and council member Fernando Cabrera. Join in on a future workday. /AUTHOR: Carlos David /RATING: 1 /TEXT: Soso  /AUTHOR: Shamar Myers /RATING: 5 /TEXT:  /AUTHOR: Enmanuel Peralta /RATING: 3 /TEXT: ",Bronx,3.5,,Garden,unknown
George Walker Jr. Park,57 Vermont Street,,-73.895113,0,11207,None Available,40.678618,None Available,Brooklyn,0,,Neighborhood Park,unknown
Rockaway Beach Boulevard,Seagirt Boulevard,,-73.752395,0,11691,None Available,40.593089,None Available,Queens,0,,Community Park,unknown
A. Badillo Community Rose Garden and Park,420 East 163 Street,,-73.91261,28,10451,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photoreference=CmRaAAAArtU52_MIAMINcjo11OuwRZIdslcxTQTfprDaj3gN3VJEml6qlq3w16JzFBrS2_VdhZOUsgVuRna_t8GbvRP-q_LbKb3kx8Ayh6k2IAKp07sC9O7YWNxbkJNChE6YI0lWEhD3QR3NTneKCXgQoSKJ0YkdGhSNS2p3-Xsp_nUsDHhNd-Vtj1N5hg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.82489," /AUTHOR: Team Rogers /RATING: 5 /TEXT: It's Totally Interesting!!! /AUTHOR: Miriam Resto /RATING: 4 /TEXT: Nice community garden /AUTHOR: Aisha Guyton /RATING: 5 /TEXT: We appreciate the food, and hit the spot bcuz we were hungry and had no money to eat,..... thank very much. /AUTHOR: Marc Silverman /RATING: 5 /TEXT: Nice garden /AUTHOR: Darlene Scott /RATING: 4 /TEXT: Food bazaar my fav",Bronx,4.3,,Neighborhood Park,"['Monday: 6:00 AM â€“ 10:00 PM', 'Tuesday: 6:00 AM â€“ 10:00 PM', 'Wednesday: 6:00 AM â€“ 10:00 PM', 'Thursday: 6:00 AM â€“ 10:00 PM', 'Friday: 6:00 AM â€“ 10:00 PM', 'Saturday: 6:00 AM â€“ 10:00 PM', 'Sunday: 6:00 AM â€“ 10:00 PM']"
