Name,rating,num_ratings,zip,uid,address,boro,reviews,lat,website,long,photo,hours,type
Marine Park/Jhs 278-K,4.4,50,11229,9270,2135 Stuart Street,Brooklyn," /AUTHOR: Swaggy B /RATING: 5 /TEXT: This is the absolute worst school you can go to. The teachers are SOOOo bad. I don't like any of the teachers and I hate all of them. The classes are so boring and the school doesn't prepare any of the students for any of the exams. ITS A TERRIBLE  SCHOOL. Don't send your child here. Sike its a very good school, and yes you should send your child here because it does prepare you for every test and its a very good school. Although it does get boring sometimes, I mean every school is boring but its still very FUN. I love this school!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! /AUTHOR: Yazmurat A. /RATING: 5 /TEXT: This is my favorite school I've ever been in and I'm happy I got in honors class and that was an improvement because I was first in 6-3. Also the teachers, some are pretty chill and its fun and if it was a specialized high school, I would've worked so hard to get in and I prepare to Stuyvesant high school. Over the summer, I was asked if I wanted to go to either Coney Island prep or Marine Park, and I obviously chose my school and I was stressed out when they first said I had to go but then I convinced them but even if I didn't, they gave me a final choice any ways.  Now my top teacher from last year was Ms.Duro. This year it is Mr.Tupper . But for some of the other subject teachers, well, I liked the class better than I liked them no offense!(Not gonna tell who)My class was fun, BUT, the class was horrible in some subjects and ITSELF for example, English, and sometimes Social Studies and science. The other one blames kids on stuff we didn't do and we go off topic which will probably make me like the class more than the teacher :D. Sorry. Anyhoo I had an essay once with I got an 88 and told the teacher I didn't get extra points for typing and I got a 93 which 88 was the grade with extra points its just that it said no extra and when I got the essay it already showed 88 with extra points which means I got an 83 and got extra points but I acted like it was a solid 88 at the start. So basically my grade with the extra points was supposed to be an 88 not 93 and I was unhesitant when I told my teacher and it was verified which therefore means I got 10 added points instead of 5. Another time I couldn't finish an essay because at March 24, at 2017 when I was in 6th grade, I had to get my nose surgery and I was absent for a day of the state exam week because of recovery and at the last exam, I had to get my Doyle splints removed from my nose and I didn't give in the essay and I remember it was marked as a 4. I can get away with homework WAY TO EASILY. Ive done it a lot and I try to be too wise sometimes and I can do it again but one thing I won't do is lie. I didn't say bye to any of my teachers at the last day of 6th grade :c. I haven't said hi  my math and English teacher until November and December, which is funny because Ms.Duro my math teacher was my fav. I saw my art teacher from last year in January 2018 which is also sad because she was too nice. I didn't meet my science teacher yet lol. /AUTHOR: Adelia /RATING: 5 /TEXT: Really good school best debate team ever. Have an okay band team. The debate team is the best really good teacher Mrs.Powers. There are other great teachers that teach very well. This school prepares you for the future for when you get older. So go to this school and join the debate team! /AUTHOR: IcePhantom /RATING: 5 /TEXT: 5 Stars   BEST SCHOOL IN THE CITY   CUNniGhAM IS TERRiBLe  Spekled it wrong on purpios becasue it is terrible /AUTHOR: Armen S /RATING: 5 /TEXT: This is the best school ever!!!  If you have (Mr DellaRocca ) you had the best science year ever!! This is the funny school year, also there is cool kids. I am at the 6th grade now☺️",40.607862,https://www.schools.nyc.gov/schools/K278,-73.937449,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2592&photoreference=CmRaAAAAR-ee5YFi3sEz8O91TlBzCKkTpwTBB8yhTD83IZMldPzyTHqsVbOtI_gnOW6gv9YJ-d611FrpVd9HNjkjOPJAx9Y0xbfpt30GmgiyNc8nDEkP4C0Xc7kCnsRBWoNkEYxyEhAm61HvSlogqG8JoxIjk9BOGhRFmmUPlWkV7vC3QJ1b8R06dO4o8A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Community Park
Rose Hill Park,4.1,38,10458,81861,East Fordham Road,Bronx, /AUTHOR: Carlos Carvajal /RATING: 2 /TEXT: Great place /AUTHOR: Gladys Blanco Gutierrez /RATING: 5 /TEXT: Good park /AUTHOR: TRAIN TRAVELER /RATING: 4 /TEXT: Not bad /AUTHOR: Lucas Tossas /RATING: 5 /TEXT: Quiet place /AUTHOR: Claire Omotayo /RATING: 4 /TEXT: Awesome,40.862029,https://www.nycgovparks.org/parks/rose-hill-park/,-73.89039,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAS_O_GtGNwhlDxovT4ovVUmQLs0KFnmBSUf4oT_nZ03jqMsEQFw7u5uWDFqCN6ciQbYDAExz8Kx_6HaviYW6LQBaQTnU8Nx3k2FshU18sqN2ZK9UFa5Hm1T4OT2U9Vb5lEhB9hkVMckDN-YQId5dWMRxxGhSBSIcbww8scULtui55cSHyDuUWWw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Park  R-98,3,1,10312,117603,Drumgoole Road East,Staten+Island, /AUTHOR: Tiffany Perez /RATING: 3 /TEXT: tiffnanyperez,40.534408,None Available,-74.191651,None Available,unknown,Park
117th St Community Garden,4.4,19,10035,103103,170 East 117 Street,Manhattan," /AUTHOR: Russelly Figueroa /RATING: 3 /TEXT: They have good stuff as all the Targets do, some customer reps are great and others not good. Seen a Shea Butter leave in conditioner on sale to buy one and get the 2nd one half off, but the discount did not come off when they scanned them, spoke to a supervisor and walked back to show him, at this moment there was another employee changing the prices to all the items on that particular section, I got my products from and he asked her if she changed the prices on my products, she stated no and that my items were not on sale and those had always been the prices. Not cool, I should've taken a picture, next time /AUTHOR: Richard Seaman /RATING: 5 /TEXT: Great place to shop. Lots of stores to choose from that have about everything that you need. /AUTHOR: Richard Seaman /RATING: 4 /TEXT: Great store,has almost everything . /AUTHOR: Judy Rodriguez /RATING: 4 /TEXT: Always find something. Hard to get items when on sale /AUTHOR: George Mercer /RATING: 5 /TEXT: Interesting area",40.798825,https://www.nyrp.org/green-spaces/garden-details/target-east-harlem-community-garden,-73.940583,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4096&photoreference=CmRaAAAA1hfzWNdXjh1DrFTZGzaZBeoLupJxA8fofpxjwKvN6s_qRC7OMzGU2FeJv5EJxievTQ2UObSiE3kH8CNPh2QHL9nEVkcz_ydVWSJnPRJ4iZEPCOe9CMoqSUXCwxp6W-iHEhD33AhDzU4lpPoxHnUZfBqdGhR1zU4hSoG_347dI0982nZDY1Wibw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",Garden
Bridge Playground,4.1,34,10452,22073,1459 University Avenue,Bronx, /AUTHOR: Kim Brown /RATING: 1 /TEXT: Horrible /AUTHOR: Joyce New /RATING: 5 /TEXT: Just a day for a break and some Peace of Mind.& a walk in the park. /AUTHOR: Treemonisha Hutson Conley /RATING: 1 /TEXT: ..or another way of thinking of it is... a cement yard by a highway near a highly polluted river /AUTHOR: Rumblooddabilly DSC /RATING: 5 /TEXT: Hopcashy day  /AUTHOR: Craig Miller /RATING: 4 /TEXT: Love this place,40.844309,https://www.nycgovparks.org/parks/bridge-playground/,-73.924147,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4928&photoreference=CmRaAAAAJHvGWWxrlLAj8SwgA5MI3yf3hjFRinsJUuFdCfeAzqg1it00TmafHuzoDRF4EWPBzlOgXJXqJSIS1rXBlq2avIeZZYfBBbcJaJw0rU5NTk_W5xjTjoQKmODtTbAqBL63EhDNmDxDtCN93vXLUXg3RrLhGhQCVJXH2E54ZBtnvJ-7DKF5FiyTSQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Peck Slip Park,0,0,10038,81346,Peck Slip,Manhattan,None Available,40.707569,None Available,-74.001389,None Available,unknown,Park
Mother Cabrini Park,4.2,9,11231,112958,39 President Street,Brooklyn," /AUTHOR: Rey Rosado /RATING: 4 /TEXT: Nice park real quiet and clean great for small children /AUTHOR: Jonathan Friedman /RATING: 4 /TEXT: Nice, basic playground. Small. Good for small children. Could use a bathroom though. /AUTHOR: Sarah Conyers /RATING: 4 /TEXT: only thing missing is a toilet! nice clean playground with shaded benches /AUTHOR: Keith smith /RATING: 4 /TEXT:  /AUTHOR: Rivka Taub /RATING: 5 /TEXT: ",40.684409,http://www.nycgovparks.org/parks/mother-cabrini-park,-74.005037,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAA9rhvqpwaXINKqjPyEPNen1D4vFSDUhbF_8f9ZtD1D3YxNH_r0GALoVePxFC8eIg9rBK3W98gLf65OMAJrWM9HnNwoDmFAw0KNXGt59vgwPS7sbVn6Yb3qQ52ndf2O_BPEhDfk2XSWbij8QRDok8kbip8GhSNf5dGFyBD-fF9jwhEAI6tJRsA3Q&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Our Little Green Acre/garden Eight,0,0,10027,196837,277 West 122 Street,Manhattan,None Available,40.808218,None Available,-73.952041,None Available,unknown,Garden
M. Fidler/Wycoff House Park,4.4,27,11203,79944,375 East   59 Street,Brooklyn," /AUTHOR: Misha Bluvshteyn /RATING: 4 /TEXT: The house is interesting but nothing special. They're a lot of activities for kids to do and the house property is basically a farm. As far as historic stuff there isn't much but it is the oldest house in Brooklyn. /AUTHOR: Deborah Alves /RATING: 5 /TEXT: Very interesting.... a must see and experience /AUTHOR: Karolin Mondesir /RATING: 5 /TEXT: My kids and I love this place. Every 3rd Saturday of the month they have Family Day where they do different stuff with the kids, like crafting dolls out of corn leafs, making waffles or fresh apple cider. It's all about how things were done in the past. Some I even know from my own childhood. /AUTHOR: Kiki Saint /RATING: 5 /TEXT: The oldest house in nyc @nycpark /AUTHOR: Stewart Bertrand /RATING: 3 /TEXT: Great event, great music nice weather.  Get tickets on line at Eventbrite to avoid long lines.",40.6447,https://www.nycgovparks.org/parks/m-fidler-wyckoff-house-park/,-73.92054,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAGAketjAiHKgMQopoeE_97lyG-AGksmwU2NzmXp1LlnJlNMhL9z6KlVgxSgmC9Qv1MQO3bsAjTke7y6L5uTYm1mReu-utUo3jZkfWAESaOk5PJ01OyvSfVCs4TcuXOhxUEhCSDYWpovrDHAXmTF0ZpbFkGhSSknC8QPoEfX5M4AQbLy7M_YESHA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Padre Plaza,4.1,39,10454,137230,East 139 Street,Bronx," /AUTHOR: Aresh Javadi /RATING: 5 /TEXT: Farmers Market or grow your own food. Pond with a bridge over it and amazing community to boot. /AUTHOR: laura espinosa /RATING: 4 /TEXT: Cozy garden with a booth bathroom! It has looked a lot better. It can be rented to host your next party. /AUTHOR: Flor Lugo /RATING: 3 /TEXT: Quiet, Peaceful Surroundings... Can Sit & Enjoy 'N Feel As If You're Some Place, That Doesn't Remember At All In The Place You Actually Are!!! /AUTHOR: patricia jackson /RATING: 5 /TEXT: Padre Plaza, is a community garden I'm a member I've been growing vegetables at herbs there for 12 yrs. now. /AUTHOR: Nicole Dixon /RATING: 5 /TEXT: A fantastic opening for the community",40.80789,None Available,-73.917394,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1080&photoreference=CmRaAAAANNoQ5PXjRVZMhm9mCd9qf69Dkm5YQTTVpuObDs40b-m65i2Gn1ktACEYJ-hGiz1rvt0sjvxMs5d__WFBnTcP_Dt0asueE1E-ab4fmztBFiOh0wu3D4qRGlt6EJ4wKKYGEhAIGs4TuE8tRDbu0QXpefsHGhQXWnVivcI_KasfxBKrZlucCmFggg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Garden
