uid,facname,address,boro,zipcode,latitude,longitude,factype,optype
123715,Brooklyn Botanical Gardens,1000 Washington Avenue,Brooklyn,11225,40.667559,-73.962156,Botanical Garden,Public
61730,T. Jefferson HS Greenhouse/Gdn,642 Blake Avenue,Brooklyn,11207,40.667579,-73.895128,Botanical Garden,Public
116546,South Battery,1 Governors Island,Manhattan,10004,40.687603,-74.015516,City-State Park,Public
116544,Hammock Grove,1 Governors Island,Manhattan,10004,40.689076,-74.019955,City-State Park,Public
115763,Hudson River Park,Battery Pl to W 59 St,Manhattan,10036,40.76374,-73.99896,City-State Park,Public
162572,Northtown Park,40 River Road,Manhattan,10044,40.763451,-73.947704,City-State Park,Public
114695,Southpoint,40 River Road,Manhattan,10044,40.76233,-73.949536,City-State Park,Public
121551,Brooklyn Bridge Park,146 Furman Street,Brooklyn,11201,40.697792,-73.999304,City-State Park,Public
10007,Southtown Commons,40 River Road,Manhattan,10044,40.758064,-73.954454,City-State Park,Public
114690,Franklin D Roosevelt Four Freedoms Park,40 River Road,Manhattan,10044,40.76233,-73.949536,City-State Park,Public
114689,Southwest Promenade,40 River Road,Manhattan,10044,40.76233,-73.949536,City-State Park,Public
116547,Liggett Terrace,1 Governors Island,Manhattan,10004,40.689598,-74.019292,City-State Park,Public
114692,Northwest Promenade,40 River Road,Manhattan,10044,40.76233,-73.949536,City-State Park,Public
114716,Octagon Park,40 River Road,Manhattan,10044,40.768097,-73.945696,City-State Park,Public
116535,Nolan Park,1 Governors Island,Manhattan,10004,40.689823,-74.013991,City-State Park,Public
147486,Parade Ground,1 Governors Island,Manhattan,10004,40.689359,-74.015945,City-State Park,Public
116541,Play Lawn,1 Governors Island,Manhattan,10004,40.687901,-74.02162,City-State Park,Public
162580,East Promenade,40 River Road,Manhattan,10044,40.765531,-73.945446,City-State Park,Public
114681,Manhattan Park Lawn,40 River Road,Manhattan,10044,40.762969,-73.949953,City-State Park,Public
114670,Rivercross Lawn,40 River Road,Manhattan,10044,40.76233,-73.949536,City-State Park,Public
21219,Colonels Row,1 Governors Island,Manhattan,10004,40.690715,-74.018823,City-State Park,Public
114722,Lighthouse Park,40 River Road,Manhattan,10044,40.772294,-73.940703,City-State Park,Public
61168,Greenthumb Garden,Livonia Avenue,Brooklyn,11212,40.662105,-73.910142,Community Garden,Public
134425,Green Oasis/Gilbert's Garden,384 East    8 Street,Manhattan,10009,40.723931,-73.977188,Community Garden,Public
163897,176th Street Community Garden,East 176 Street,Bronx,10453,40.848009,-73.909714,Community Garden,Public
61699,East End Community Garden,530 Glenmore Avenue,Brooklyn,11207,40.673781,-73.890807,Community Garden,Public
157318,First Quincy St Block Assoc,397 Quincy Street,Brooklyn,11221,40.687911,-73.944384,Community Garden,Public
5782,Sterling Comm Group Garden,1707 Sterling Place,Brooklyn,11233,40.671224,-73.922145,Community Garden,Public
61645,Gregory's Garden,Warwick Street,Brooklyn,11207,40.672591,-73.885921,Community Garden,Public
120314,Kissena Corridor Park,37-46 Elder Avenue,Queens,11355,40.74869,-73.823122,Community Garden,Public
123950,TLC Sculpture Park.Garden,275 Glenmore Avenue,Brooklyn,11207,40.672731,-73.90056,Community Garden,Public
45585,Miracle Garden,196 East    3 Street,Manhattan,10009,40.722637,-73.983491,Community Garden,Public
157131,Garden Beautiful,1456 Broadway,Brooklyn,11221,40.687715,-73.919317,Community Garden,Public
156874,El Batey Borincano Garden,815 Eagle Avenue,Bronx,10456,40.820768,-73.909288,Community Garden,Public
164791,Rocks & Roots Park,1129 Fulton Avenue,Bronx,10456,40.8287,-73.90612,Community Garden,Public
160202,Harris Garden,St Nicholas Avenue,Manhattan,10032,40.829619,-73.942087,Community Garden,Public
159904,Mt Hope Garden,2039 Creston Avenue,Bronx,10453,40.852557,-73.905363,Community Garden,Public
123973,TLC Sculpture Park,271 Glenmore Avenue,Brooklyn,11207,40.672703,-73.900741,Community Garden,Public
123552,Rincon Criollo Garden,749 Brook Avenue,Bronx,10451,40.820468,-73.912089,Community Garden,Public
41421,Kelly/PS 52 Playground,941 Avenue St John,Bronx,10455,40.815267,-73.902248,Community Garden,Public
5271,Hancock T & T Garden,324 Hancock Street,Brooklyn,11216,40.683107,-73.943029,Community Garden,Public
75560,Daly Ave/Hispanos Unidos Gdn,887 East  179 Street,Bronx,10460,40.844077,-73.88353,Community Garden,Public
117457,9th Street Community Garden,146 Avenue C,Manhattan,10009,40.725345,-73.977657,Community Garden,Public
199392,Children's Miracle Garden,Norfolk Street,Manhattan,10002,40.720707,-73.986367,Community Garden,Public
103139,117th St Community Garden,172 East 117 Street,Manhattan,10035,40.798811,-73.940557,Community Garden,Public
121441,La Plaza Cultural Garden,East 9 Street,Manhattan,10009,40.725485,-73.979013,Community Garden,Public
92470,Family Group Garden,420 East  158 Street,Bronx,10451,40.821828,-73.914038,Community Garden,Public
161468,Santos White Garden,2106 Mermaid Avenue,Brooklyn,11224,40.576038,-73.988193,Community Garden,Public
61134,Hopkinson R&L Cblk Assoc. Gdn,758 Thomas S Boyland Street,Brooklyn,11212,40.661873,-73.911945,Community Garden,Public
61696,Clara's Garden,579 Glenmore Avenue,Brooklyn,11207,40.674403,-73.889029,Community Garden,Public
41371,Morris-Jumel Ecological Garden,455 West 162 Street,Manhattan,10032,40.835752,-73.939086,Community Garden,Public
164119,Wanaqua Garden,460 East  136 Street,Bronx,10454,40.806768,-73.921968,Community Garden,Public
155769,Dias Y Flores Garden,522 East 13 Street,Manhattan,10009,40.72907,-73.9799,Community Garden,Public
169835,Ebenezer Wesleyan Methodist Ch,123 East  100 Street,Manhattan,10029,40.788819,-73.949399,Community Garden,Public
170798,El Puente/Earth Spirit Garden,207 South    2 Street,Brooklyn,11211,40.712503,-73.959351,Community Garden,Public
2284,Hoe Ave North Tot Lots Garden,1221 Hoe Avenue,Bronx,10459,40.829456,-73.891148,Community Garden,Public
104483,Granite St Block Assoc Garden,28 Granite Street,Brooklyn,11207,40.682335,-73.907652,Community Garden,Public
125785,PS 84 & Playground,59 West 91 Street,Manhattan,10025,40.789479,-73.968423,Community Garden,Public
134442,6th St & Ave B Comm Garden,82 Avenue B,Manhattan,10009,40.724331,-73.98223,Community Garden,Public
109365,Doscher St Block Assoc Garden,Doscher Street,Brooklyn,11208,40.673682,-73.871978,Community Garden,Public
61700,East New York I URA,337 Van Siclen Avenue,Brooklyn,11207,40.67165,-73.889762,Community Garden,Public
7252,Sunshine Community Garden,101 Mc Kibbin Street,Brooklyn,11206,40.705291,-73.943969,Community Garden,Public
115231,Powell St Block Assoc Park,Powell Street,Brooklyn,11212,40.658494,-73.900895,Community Garden,Public
61472,First Temple Of David Park,494 Bradford Street,Brooklyn,11207,40.666683,-73.890948,Community Garden,Public
117679,Bayview Terrace Park   R-137,Bayview Terrace,Staten Island,10312,40.526884,-74.163482,Community Garden,Public
122328,Taqwa Commnity Farm,992 Ogden Avenue,Bronx,10452,40.832548,-73.929285,Community Garden,Public
103232,Peachtree Garden,238 East 2 Street,Manhattan,10009,40.72164,-73.98194,Community Garden,Public
126877,Bryant Hill Garden,Bryant Avenue,Bronx,10474,40.819829,-73.887215,Community Garden,Public
168148,Castle Hill Park,202 Castle Hill Avenue,Bronx,10473,40.811764,-73.845977,Community Garden,Public
7218,St Nicholas-Olive St Garden,25 Olive Street,Brooklyn,11211,40.713344,-73.939057,Community Garden,Public
101427,Truce Garden,145 St Nicholas Avenue,Manhattan,10026,40.804627,-73.95306,Community Garden,Public
157308,Hattie Carthan Garden,658 Lafayette Avenue,Brooklyn,11216,40.689947,-73.948699,Community Garden,Public
5032,Walt L Shemal Garden,1099 Dean Street,Brooklyn,11216,40.677414,-73.953586,Community Garden,Public
153541,PS4/Paradise Garden,690 Glenmore Avenue,Brooklyn,11207,40.674673,-73.884764,Community Garden,Public
137364,United We Stand Garden,627 East  137 Street,Bronx,10454,40.805441,-73.91571,Community Garden,Public
109333,Green Gems Garden,953 Glenmore Avenue,Brooklyn,11208,40.676472,-73.874925,Community Garden,Public
32225,St Nicholas-Powers St Garden,278 Powers Street,Brooklyn,11211,40.712746,-73.939674,Community Garden,Public
61624,Herbal Garden,Schenck Avenue,Brooklyn,11207,40.674,-73.888563,Community Garden,Public
158277,Farmers Garden,1897 Bergen Street,Brooklyn,11233,40.674611,-73.918334,Community Garden,Public
30127,Harlem Rose Garden,East 129 Street,Manhattan,10035,40.808505,-73.939916,Community Garden,Public
169269,Cooper St Block Buster Gdn,Cooper Street,Brooklyn,11207,40.684638,-73.910786,Community Garden,Public
39754,Vernon New Harvest Garden,48 Vernon Avenue,Brooklyn,11206,40.694271,-73.95021,Community Garden,Public
102473,Family Community Garden,Cleveland Street,Brooklyn,11208,40.665483,-73.881438,Community Garden,Public
61635,Floral Vineyard Garden,2385 Pitkin Avenue,Brooklyn,11208,40.673783,-73.884383,Community Garden,Public
118124,Garden Of Happiness Addition,2162 Prospect Avenue,Bronx,10457,40.848613,-73.884921,Community Garden,Public
173612,De Colores Cmty Yard & Ctr Gar,311 East 8 Street,Manhattan,10009,40.725463,-73.979775,Community Garden,Public
160923,Garden Of Love,302 West 116 Street,Manhattan,10026,40.804395,-73.956048,Community Garden,Public
39509,Good Shepherds Garden,557 Shepherd Avenue,Brooklyn,11208,40.670713,-73.879679,Community Garden,Public
109348,Euclid 500 Block Assoc Garden,149 Doscher Street,Brooklyn,11208,40.673253,-73.871951,Community Garden,Public
134998,Franklin Memoral Garden,Cauldwell Avenue,Bronx,10456,40.826309,-73.905263,Community Garden,Public
165520,Elizabeth Langley Memor Garden,121 West 137 Street,Manhattan,10030,40.816109,-73.941,Community Garden,Public
139705,Is318/Project Roots Garden,110 Walton Street,Brooklyn,11206,40.702776,-73.947957,Community Garden,Public
117680,Bayview Terrace Park  R-137,Bayview Terrace,Staten Island,10312,40.526986,-74.16327,Community Garden,Public
137224,Padre Plaza Garden,545 East  139 Street,Bronx,10454,40.807909,-73.917376,Community Garden,Public
138409,176st Street Community Garden,East 176 Street,Bronx,10453,40.847982,-73.90949,Community Garden,Public
122313,Taqwa Community Farm,994 Ogden Avenue,Bronx,10452,40.832611,-73.929252,Community Garden,Public
108092,Risse Street Park,100 Van Cortlandt Park E,Bronx,10468,40.878564,-73.885289,Community Garden,Public
165336,Locust Manor Civic Assoc Gdn,120 Avenue,Queens,11434,40.683544,-73.773758,Community Garden,Public
157123,700 Decatur St Bl Assoc Garden,Hopkinson Avenue,Brooklyn,11233,40.683872,-73.914396,Community Garden,Public
62865,Leave It Better Kids' Garden,1971 Grand Avenue,Bronx,10453,40.852204,-73.911024,Community Garden,Public
154036,Gardens Of Union,640 Union Street,Brooklyn,11215,40.676859,-73.982302,Community Garden,Public
139745,Bradhurst Urban Renewal Park,220 West  146 Street,Manhattan,10039,40.82269,-73.940084,Community Garden,Public
142297,Earth People Garden,East 8 Street,Manhattan,10009,40.725161,-73.978963,Community Garden,Public
103673,A Better Community Garden,3 Hunterfly Place,Brooklyn,11233,40.678062,-73.928118,Community Garden,Public
156895,El Flamboyan Garden,588 Tinton Avenue,Bronx,10455,40.813694,-73.905657,Community Garden,Public
156818,Hart To Hart Garden,104 Hart Street,Brooklyn,11206,40.693084,-73.947492,Community Garden,Public
81066,Shiloh Garden,Monroe Street,Brooklyn,11216,40.686284,-73.945247,Community Garden,Public
176420,United Comm Centers Garden,599 Alabama Avenue,Brooklyn,11207,40.661187,-73.895766,Community Garden,Public
140377,Amboy Neighborhood Ctr Garden,208 Amboy Street,Brooklyn,11212,40.665361,-73.913836,Community Garden,Public
109337,Green Gems Garden\,933 Glenmore Avenue,Brooklyn,11208,40.676382,-73.875499,Community Garden,Public
134258,Generation X Garden,270 East 4 Street,Manhattan,10009,40.722584,-73.981453,Community Garden,Public
6813,Lentol Garden,178 Bayard Street,Brooklyn,11222,40.719995,-73.945256,Community Garden,Public
45628,Cooper Square URA,287 Bowery,Manhattan,10003,40.724399,-73.991811,Community Garden,Public
157692,Hull Street Garden,233 Hull Street,Brooklyn,11233,40.680158,-73.907515,Community Garden,Public
152608,Goodwill Park,Main Avenue,Queens,11102,40.77221,-73.931988,Community Garden,Public
55661,Madison St Block Assoc Garden,88 Madison Street,Brooklyn,11216,40.683917,-73.955525,Community Garden,Public
112956,The Backyard Garden,65 Hamilton Avenue,Brooklyn,11231,40.683313,-74.005675,Community Garden,Public
164794,The Bklyn Bears/Carlton Ave Gd,397 Carlton Avenue,Brooklyn,11238,40.685761,-73.971097,Community Garden,Public
171098,6bc Botanical Garden,624 East    6 Street,Manhattan,10009,40.723869,-73.980742,Community Garden,Public
103348,Brownsville II URA,746 Howard Avenue,Brooklyn,11212,40.66365,-73.919511,Community Garden,Public
134245,Orchard Alley Garden,346 East 4 Street,Manhattan,10009,40.721365,-73.978574,Community Garden,Public
137354,St Luke's Playground,638 East  138 Street,Bronx,10454,40.805545,-73.915172,Community Garden,Public
109614,Stars Of Hope,Shell Road,Brooklyn,11224,40.582528,-73.974979,Community Garden,Public
169863,The Amazing Garden,265 Columbia Street,Brooklyn,11231,40.683083,-74.003371,Community Garden,Public
200620,Wishing Well Garden,864 Rev James Polite Avenue,Bronx,10459,40.819496,-73.898632,Community Garden,Public
171201,Jackson Forest Comm Garden,722 Home Street,Bronx,10456,40.82819,-73.902651,Community Garden,Public
170737,Badillo Community Rose Garden,East 163 Street,Bronx,10451,40.825038,-73.912614,Community Garden,Public
196165,Ten Eyeck Houses Hdfc Garden,17 Ten Eyck Street,Brooklyn,11206,40.709804,-73.950097,Community Garden,Public
100478,Joe Holzka Community Garden,104 Barker Street,Staten Is,10310,40.63462,-74.121465,Community Garden,Public
32354,C.A.U.S.A. Festival Garden,782 Blake Avenue,Brooklyn,11207,40.668403,-73.889641,Community Garden,Public
62789,Dred Scott Bird Sanctuary Gard,1310 Grant Avenue,Bronx,10456,40.836251,-73.913094,Community Garden,Public
164587,PS 125 Playground,413 West 123 Street,Manhattan,10027,40.81079,-73.955726,Community Garden,Public
21310,Vernon T & T Block Assoc Gdn,200 Vernon Avenue,Brooklyn,11206,40.694998,-73.943863,Community Garden,Public
5800,St Marks Block Assoc Garden,455 Ralph Avenue,Brooklyn,11233,40.673546,-73.921865,Community Garden,Public
82758,Edith Garden,836 Elton Avenue,Bronx,10451,40.822749,-73.912426,Community Garden,Public
164241,Hart To Hart Garden Extension,114 Hart Street,Brooklyn,11206,40.693133,-73.947063,Community Garden,Public
103230,"Eng 28, Lad 11 Parking",218 East 2 Street,Manhattan,10009,40.721953,-73.982683,Community Garden,Public
164234,Daly Ave./Hispanos Unidos Gdn,2033 Honeywell Avenue,Bronx,10460,40.844138,-73.88348,Community Garden,Public
157254,Will Washington Memorial Gdn,325 West  126 Street,Manhattan,10027,40.811445,-73.951625,Community Garden,Public
8485,Garden Of Life,1685 Weeks Avenue,Bronx,10457,40.843919,-73.908092,Community Garden,Public
