Name,photo,boro,hours,amenities,reviews,long,lat,address,rating,type,zip,summary,num_ratings
East Winds,https://apops.mas.org/wp-content/uploads/2012/10/345-East-80th-Street.jpg,Manhattan,24,No required amenities,,-73.952306,40.773469,345 East 80 Street,,POPS,10028,The plaza surrounds the building on almost all of its three street sides of East 80th Street the west side of First Avenue and East 81st Street The best part of the space is probably only known to building residents a small lawn hidden from the street by its higher grade level and welltrimmed hedges at the northwest corner of First Avenue and East 80th Street Access is available up the canopied stairwell leading to the buildings front entrance Although structured seating is not available the lawn itself is flat sunny and pleasant A smaller lawn is located west of the entrance The rest of the space includes a sunken rectangular plaza strip on First Avenue in front of retail outlets A strip of plaza should be located on East 81st Street,
Foley Square/ T. Paine Park,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,501 Centre Street,4.2,Neighborhood Park,10007,,486
John Allen Payne Park,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,6400 3 Avenue,0,Neighborhood Park,11220,,0
Normandie Court,https://apops.mas.org/wp-content/uploads/2012/10/2012-235_E_95th-st-c-e1351192674286.jpg,Manhattan,24,"Bicycle Parking: Primary Space: 28 spacesDrinking Fountain: Primary Space: 1Litter Receptacles: 14 cubic feetPlanting: Primary Space: 2,047 sf required, 2,050 sf providedPlaque/SignRetail Frontage: Primary Space: along Second AvenueSeating: Primary Space: 494.1 linear feet including 49.4 lf with backs required, 579.1 lf provided; Usable Residual Space: 39 linear feet required, 124 lf providedTrees on Street: 42Trees within Space: Primary Space: 21; Usable Residual Space: 6 required, 7 provided",,-73.94924,40.78468,205 East 95 Street,4,POPS,10128,Red brick dominates this sizable residential plaza wrapping around another Normandie Court building on East 95th Street the west side of Second Avenue and East 96th Street When the sun bakes the open southfacing portion of the primary space along East 95th Street its brick surface could probably fry an egg The planter next to the public sidewalk and the flanking trees do little to moderate the combustible union of open brick surface and unobstructed sun The threelevel brickbacked waterfall installed at the western edge of the space helps dramatically however as users at ground level may sit on surrounding ledges and cool themselves off Other seating at the space is problematic The space is required to provide at least 4941 linear feet of seating At a recent site visit the exterior planter ledge on East 95th Street had a metal spiked railing as did the ledges of the two planters in the primary space along Second Avenue No record of City approval that would allow a reduction of required seating has been found Usable residual space is located on East 96th Street where small grassy areas flank both sides of the building entrance The space located west of the waterfall offers an interesting birdseye view of this space below but is not part of the public space here,
Euclid Garden,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,Euclid Avenue,0,Neighborhood Park,11208,,0
"95 WALL STREET, New York, NY 10005",https://apops.mas.org/wp-content/uploads/2012/10/95-Wall-Street.jpg,Manhattan,24,No required amenities,,-74.007581,40.704676,95 Wall Street,1,POPS,10005,Articulated with rectangular steel columns the onestory fullblock arcade along the southeast side of Water Street between Wall Street and Gouverneur Lane creates a protected corridor next to the sidewalk and an entrance to the building and retail space A strip of plaza next to Gouverneur Lane between Water and Front Streets is an empty space A brief moment of Wall Street frontage at the corner of Wall and Water Streets secures the Wall Street address even though the main entrance is on Water Street,
Generation X,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,272 East 4 Street,4.3,Neighborhood Park,10009,,259
Kosciusko Street Park,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,385 Kosciuszko Street,0,Neighborhood Park,11221,,0
Sara D. Roosevelt Park,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,106 Chrystie Street,3.9,Neighborhood Park,10002,,481
Brisas Del Caribe,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAd7IXN5S5oLAwImvPBEx5Oq0PTNVKzoACumnYwA2x4FG-O-tUAGhnrL4hcf-gr3pelZ3-RBza7eIgNMGVlvZQ-9WQTJFzP_1mjJ_Ncj0Q6tm1y_lKM5v7IKlFRaq_lZeWEhAhQYdG3NEceaAVLfyZ1lsiGhQ9CXkZ0jSXYkFvbhc_R7bSkizmqA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,Bronx,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",," /AUTHOR: The Youngest Flexer /RATING: 5 /TEXT: I live right next to this park and I'm looking into buying it in the future /AUTHOR: Nekky Sync /RATING: 5 /TEXT: Baseball, Playground, close to home. Close to mall. It's not big but I enjoy it better in the evenings. /AUTHOR: SASalways Smiles /RATING: 3 /TEXT: I usually go early with my with my children to get some exercise to start the day, 95% of the time we utilize the field, I rarely go to the actual playground because it's a bit dated and honestly makes me a bit nervous, and when we do I stick to the smaller play area and the swing set. School playgrounds around this area is much better and up to date. /AUTHOR: James Hendrickson /RATING: 1 /TEXT: People park anyware is crazy, don't like the location /AUTHOR: Gregory Thomas /RATING: 4 /TEXT: The neighborhood is beautiful.And the ball field is nice,alot of kids playing,and dogs running around.I didnt see alot of animal waste around,but i didnt walk all around either.Other than that,very nice place to have a family outing.I perfer a place where no animals are allowed.",-73.851016,40.8234,237 East 3 Street,4.2,Neighborhood Park,10009,,1195
