the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
0101000020E610000024ED461FF37C52C08236397CD25B4440,,168047,,NYCDOT: 66,North 10th & Union Ave Plaza,,,North 10th,Brooklyn,Brooklyn,3,11211,40.717361,-73.952339,997462.0001,200634,,,301,33,51900,BK73,0101000020110F0000CCE01B2E64675FC1C2380C5C3DF65241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E6100000E2E995B20C7F52C0B41EBE4C14614440,,182240,,NYCDCP: M050100,Bertelsmann,1548,Broadway,1548 Broadway,New York,Manhattan,1,10036,40.758432,-73.98515,988364.0113,215594.2865,,,105,4,11900,MN17,0101000020110F00003F575A4EF56A5FC175F812DE21FC5241,Parks and Plazas,Privately Owned Public Space,Privately Owned Public Space,,,,,,,,Non-public,Not Available,Non-public,"NYCDCP,NYCDOB: City",NYC Department of Buildings;NYC Department of City Planning,NYCDCP;NYCDOB,,NYCDCP,NYCDCP: Privately Owned Public Spaces,,NYCDCP: 2017-10-23,dcp_pops,"Parks, Gardens, and Historical Sites"
0101000020E610000064C91CCBBB7C52C01A6D5512D95B4440,,154818,,NYCDOT: 8,Frost Street Plaza,,,Frost St,Brooklyn,Brooklyn,3,11211,40.717562,-73.948962,998397.9999,200707.9999,,,301,34,51500,BK73,0101000020110F00002099D93206675FC1BCA568BD44F65241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E61000006893C3279D7752C0015130630A6A4440,,51098,,,Watson Playground,,,Gleason Avenue,Bronx,Bronx,2,10472,40.828442,-73.868967,1020513,241128,,2037500001,209,18,6800,BX55,0101000020110F000014EBADF2535E5FC148F0156F2F065341,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000021C9ACDEE17C52C01F8315A75A694440,72958,72953,,NYCDPR: M041,Alexander Hamilton Playground,66,Hamilton Place,66 Hamilton Place,New York,Manhattan,1,10031,40.823079,-73.951286,997732.628,239150.8727,,1020720013,109,7,22500,MN04,0101000020110F0000A8D610E046675FC19025B1316A055341,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,NYCDPR: 0.839,NYCDPR: Acres,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS;NYCDPR,NYCDCAS: City Owned and Leased Properties;NYCDPR: Parks Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDCAS: 2017-06-01;NYCDPR: 2017-12-21,dcas_facilities_colp;dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E6100000DBA7E331037A52C0C79FA86C58694440,,135022,,,Mckinley,902,Cauldwell Avenue,902 Cauldwell Avenue,Bronx,Bronx,2,10456,40.823011,-73.906445,1010143,239136,,2026310011,203,16,18500,BX35,0101000020110F0000822CB8F466625FC1771B7DB167055341,Parks and Plazas,Recreation and Waterfront Sites,Playground/Sports Area,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000007EE36BCF2C7652C0F279C5538F644440,,131335,,NYCDPR: Q457,College Point Park,122,Street,122 Street,College Point,Queens,4,11356,40.785624,-73.846485,1026762.073,225538.1115,,4040560001,407,19,92900,QN23,0101000020110F00003249DA46E25B5FC17366671F09005341,Parks and Plazas,Recreation and Waterfront Sites,Recreation Field/Courts,,,,,NYCDPR: 0.659,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E610000097A8DE1AD87652C0F65FE7A6CD544440,164707;57954,123327,,,Q165 Spring Creek,,,Fairfield Place,Howard Beach,Queens,4,11414,40.662526,-73.85694,1023940,180685,,4114560035;4114560040;4114560057,410,32,6202,QN57,0101000020110F0000B94AF33C055D5FC18BEE8AC260EE5241,Parks and Plazas,Preserves and Conservation Areas,Natural Area/Wetland/Wildlife Refuge,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000078431A15387C52C0ED4960730E5A4440,,168462,,NYCDOT: 4,Humboldt Plaza,,,Humboldt St,Brooklyn,Brooklyn,3,11206,40.703566,-73.940923,1000630,195609.9999,,,301,34,49100,BK90,0101000020110F000065D16A7926665FC1BF7D59E342F45241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E61000002DB1321AF97852C06FF607CA6D554440,,124325,,,Dr. Martin Luther King Jr Park,757,Dumont Avenue,757 Dumont Avenue,Brooklyn,Brooklyn,3,11207,40.667413,-73.890204,1014709.188,182451.9373,3393365,3037930001,305,42,115800,BK85,0101000020110F000000AC91F8A2605FC10EC3380F14EF5241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
