Name,type,boro,zipcode,longitude,latitude,address,summary
Vesuvio Playground,Neighborhood Park,Manhattan,10012,-74.00258,40.725392,85 Thompson Street,Vesuvio Playground is an 064acre 2600 m2 neighborhood park located on the corner of Thompson Street and Spring Street off of Prince Street in SoHo Manhattan New York CityIt was named in the late 1990s after the nearby popular Vesuvio Bakery on nearby Prince Street which was in turn named for the stratovolcano Mount Vesuvius The volcano erupted in AD 79 destroying the Roman city of Pompeii The park was named to honor the owner of the bakery it could not be named after him because Parks Department policy prohibited the naming of the park after a living person The playground was formerly named Thompson Street Playground after the adjacent Thompson Street which was in turn named after Revolutionary War Brigadier General William Thompson in the late 18th centuryThe playgrounds land was purchased by the New York City Department of Parks and Recreation in pieces in 1929 1930 and 1957 The park has basketball courts handball courts bocce courts a threefoot minipool playgrounds sandboxes water fountains spray showers and public bathrooms A 29 million renovation of the park was completed in 2007
Freshkills Park,Park,Staten Island,10312,-74.170089,40.564659,Arthur Kill Road,Freshkills Park is a public park being built atop a landfill reclamation project on Staten Island At about 2200 acres 89 km2 it will be the largest park developed in New York City since the 19th century Its construction began in October 2008 and is slated to continue in phases for at least 30 years When fully developed by 203537 Freshkills Park will be the secondlargest park in New York City and almost three times the size of Central Park in Manhattan The park has been designed for five major sections that accommodate a range of uses including cultural athletic and educational programs Sections of the park will be connected by a circulation system for vehicles and a network of paths for bicyclists pedestrians and equestrians The New York City Department of Parks and Recreation NYC Parks is running the project with the New York City Department of Sanitation
Juniper Valley Park,Park,Queens,11379,-73.874116,40.721658,Juniper Blvd North,Juniper Valley Park is a public park located within Middle Village Queens New York United States The parks 55247 acres 223580 m2 offer tennis handball Paddleball basketball and bocce courts as well as seven baseball fields and a quartermile running track around a turf footballsoccer field Since the 1930s it has been run and operated by the New York City Department of Parks and RecreationThe park is bordered by Juniper Boulevard North on the north Juniper Boulevard South on the south Lutheran Avenue on the west and Dry Harbor Road on the east it is split into two parts by 80th Street The park is served by the Q29 Q38 and Q47 buses which all stop near the park 
1211 Avenue of the Americas,Privately Owned Public Space,Manhattan,10036,-73.982399,40.758664,1211 Sixth Avenue,1211 Avenue of the Americas also known as the News Corp Building is an International style skyscraper in Midtown Manhattan New York City Formerly called the Celanese Building it was completed in 1973 as part of the Rockefeller Center extension that started in the late 1950s with the TimeLife Building The Celanese Corporation would later move to Dallas Texas Currently 1211 is owned by an affiliate of Beacon Capital Partners and leasing is managed by Cushman Wakefield Inc of which the Rockefeller Group was once a major shareholder The structure has a simple slablike shape devoid of any decoration its prosaic façade consisting of vertical alternating limestone and glass stripes The façade stone piers are supernumerary there are twice as many of them as structurally necessary The glass bands are continuous and offer no indication of floor levels These features ably create the visual lack of scale so the tower does not look overly bulky
Tompkins Square Park,Neighborhood Park,Manhattan,10009,-73.981713,40.726452,144 Avenue A,Tompkins Square Park is a 105acre 42 ha public park in the Alphabet City portion of East Village Manhattan New York City The squareshaped park bounded on the north by East 10th Street on the east by Avenue B on the south by East 7th Street and on the west by Avenue A is abutted by St Marks Place to the west 
Amundsen Circle,Triangle/Plaza,Staten Island,10306,-74.131016,40.564635,,Oakwood is a neighborhood located in east central Staten Island New York City near the South Shore It is bordered by Tysens Lane north the Atlantic Ocean east Great Kills Park south Kensico Street and Clarke Avenue west The neighborhood has a coastline on the Lower New York Bay the coastal area is sometimes referred to as Oakwood Beach and is the site of a sewage treatment facility Bordering this facility on the south is the Staten Island Unit of the Gateway National Recreation Area also known locally and formerly officially as Great Kills Park Oakwoods ZIP Code is 10306 served by a post office in New Dorp the communitys northern neighbor 
Kissena Park,Park,Queens,11365,-73.806298,40.745567,Kissena Boulevard,Kissena Park is a 235acre 95 ha park located in the neighborhood of Flushing in the New York City borough of Queens It is located along Kissena Creek which formerly flowed into the Flushing River It is bordered on the west by Kissena Boulevard on the north by Rose Oak Underhill and Lithonia Avenues on the east by Fresh Meadow Lane and on the south by Booth Memorial Avenue The park contains the citys only remaining velodrome a lake of the same name two war memorials and various playgrounds and sports fields The site of Kissena Park was originally part of a tree nursery operated by Samuel Parsons in the late 19th century though parts of the park were also the site of a Long Island Rail Road line The lake on Parsonss property was named Kissena which comes from the Chippewa language meaning it is cold cold place or cool water and the park was later named after the lake After Parsons died in 1906 part of his former nursery was incorporated in the modernday park The name Kissena Park can also refer to a residential section of Flushing just north of the park Kissena Park opened in 1910 and it was incorporated into Kissena Corridor Park in the mid1950s Various improvement projects have been conducted during Kissena Parks history including the addition of the velodrome in 1962 and restorations of the lake in 1942 and 1983 Subsequently the Kissena Velodrome was restored and rededicated in 2004 and a Korean War memorial was dedicated in 2007
Jamaica Bay Park,Natural Area/Wetland/Wildlife Refuge,Queens,11691,-73.76932,40.613505,Edgewater Road,Jamaica Bay is located on the southern side of Long Island in the US state of New York near the islands western end The bay connects with Lower New York Bay to the west through Rockaway Inlet and is the westernmost of the coastal lagoons on the south shore of Long Island Politically it is divided between the boroughs of Brooklyn and Queens in New York City with a small part touching Nassau County The bay contains numerous marshy islands It was known as Grassy Bay as late as the 1940s Jamaica Bay is located adjacent to the confluence of the New York Bight and New York Bay and is at the turning point of the primarily eastwest oriented coastline of southern New England and Long Island and the northsouth oriented coastline of the midAtlantic coast The name derives from the nearby town of Jamaica which in turn derives from Yameco a corruption of a word in the Lenape language spoken by the Native Americans who lived in the area at the time of first European contact The y sound in English is spelled with a j in Dutch the first Europeans to write about the area This resulted in the eventual English pronunciation of Jamaica when read and repeated orally
Mill Pond Park,Neighborhood Park,Bronx,10451,-73.931726,40.822807,Maj Wm Deegan Blvd,Mill Pond Park is a public park in the Bronx New York City It was built to compensate for the loss of parkland resulting from the construction of new Yankee Stadium between 2006 and 2009 The parks name was inspired by a dam near the site of a creek that emptied into the Harlem River Known to the Lenape Native Americans as Mentipathe Cromwell Creek originated in Morris Heights and flowed south towards Harlem River Mullally Park and Macombs Dam Park were created in the late 19th century by filling in Cromwell Creek The old Yankee Stadium was completed on the filled streamed in 1923 On the Harlem River landowner Robert Macomb built a dam in 1813 to harness the flow of the stream Macombs Dam enabled only small boats to pass through a lock By 1838 residents along the riverbank questioned the private usurpation of the public waterway and a campaign to remove Macombs Dam succeeded in its demolition in 1858 The unpopular barrier was replaced with Macombs Dam Bridge which connects 161st Street in the Bronx with 155th Street in Manhattan On the site of Mill Pond Park Mayor John F Hylan proposed a wholesale market to concentrate all farm produce entering the Bronx at one location The project was completed in 1935 during the administration of Fiorello H LaGuardia Along the Harlem River railroad barges brought produce to the market docking between four piers that were later incorporated into the park Mill Pond Park opened in 2009 and includes picnic and grass areas an outdoor classroom childrens spray showers a sand play area two water channels and a rehabilitated seawallMill Pond Park also includes 16 Deco Turf tennis courts that operate during the outdoor tennis season from April through November During the winter months 12 courts are covered by a bubble At the northern side of the park is the historic Power house constructed in 1923 to provide refrigeration for Bronx Terminal Market Retrofitted with a green rooftop the energy efficient facility contains offices public restrooms indoor café tennis clubhouse and locker room The second floor of the Power house will serve as the permanent home of the Bronx Childrens Museum
Williamsbridge Oval,Neighborhood Park,Bronx,10467,-73.877386,40.877627,3324 Reservoir Oval East,The Williamsbridge Oval is a park located in the Norwood neighborhood of The Bronx New York New York It is listed in the National Register of Historic Places
