Park Butter Avenue,Brookfield Park,Ingram Wood Park,Arden Heights Woods Park,Willowbrook Park,Conference House Park.R-6
J.P. Morgan,Sony,"100 WILLIAM STREET, New York, NY 10038",Two Federal Reserve Plaza,"650 FIFTH AVENUE, New York, NY 10019","590 MADISON AVENUE, New York, NY 10022"
Fresh Meodows Park,Harvey Park,Joe Holzka Community Garden,Roger Morris Park,Nehemiah Park,Rufus King Park
Brownsville Green,Brisas Del Caribe,Liggett Terrace,Hunts Point Market,Brooklyn Children's Museum,Hendrick I Lott House
Clara's Garden,St. Nicholas Miracle Garden,Green Valley Garden,South Battery,Lefferts Pl Block Association,Blake Hobbs Playground
S.I. Community College Park,Hart To Hart Garden,Carter G Woodson Childrens Pk,Cypress Hills Playground,Rodney Playground North Park,Eastern Parkway Coalition
Bennett Park,Bennett Rest Playground,Cambria Playground,Ranaqua Playground,Beach 30th Street Playground,Montbellier Park
Skyline Playground,Rock Garden Park,Jennifer's Playground,Rev Lena Irons Unity Park,Harry Maze Playground,Ewen Park
"230 WEST 27 STREET, New York, NY 10001",Oxford,One Lincoln Plaza,"140 BROADWAY, New York, NY 10005",Deutsche Bank,Salomon Smith Barney
Shore Road Park,Highbridge Park,Riverside Park South,Bushwick Inlet Park,69th Street Pier,Heritage Park
Fort Tryon Park,Spuyten Duyvil Park,Henry Hudson Park,Henry Hudson/Pauls Park,Franklin D Roosevelt Four Freedoms Park,Bridge Park
"650 FIFTH AVENUE, New York, NY 10019","590 MADISON AVENUE, New York, NY 10022",Sony,Trump Tower,J.P. Morgan,Philip Morris
La Plaza Cultural,Harris Garden,Sugar Hill Garden,Mobilization For Change,El Sol Brilliante Jr,Liz Christy Garden
Gowanus Houses Playground,Mount Eden Housing,Steuben Playground,Public Place,The Olde Towne of Flushing Burial Ground,Jacob's Ladder Playground
Manh Br Anchor/Coleman Sq Plgd,Cadman Plaza Park,Golconda Playground,Metro North Park,Charlton Garden,Bellevue South Park
Laguardia Landing Lights,J. Driscoll Tucker Place Plgd,Kelly Street Park,Positive Seeds of Life Garden,Greenthumb Garden,Howard Av Block Association
"560 LEXINGTON AVENUE, New York, NY 10022",UNICEF House,"875 THIRD AVENUE, New York, NY 10022","599 LEXINGTON AVENUE, New York, NY 10022","575 FIFTH AVENUE, New York, NY 10017",Citigroup Center
Ewen Park,Msgr. McGolrick Park,Vidalia Park,West Farms/Vidalia Park,Tribeca Dog Run,Loreto Playground
American Heart,Erasmus Hall H.S Athletic Faci,Breininger Park,Jack Breininger Park,176st Street Community Garden,Maple Woods Park
Madison Square Park,Heisser Square Park,Abingdon Square.Park,Collect Pond Pk/Leonold St Fld,Montefiore Square Park,Castle Hill Park
Van Cortlandt Park,Red Hook Park,Centro Cultural Garden,Wave H/Perkins Botanical Grdns,University Park,University Woods
Veterans Park,Marcy Green South,Franz Sigel Park,Tremont Park,Bronx Communication Office,Owen F. Dolen Park
Euclid 500 Block Assoc Garden,Elton St Block Association,Goodhue Park,East Promenade,Halsey Garden,Dias Y Flores Garden
Fishbridge Garden,Clifton Pl Memorial Park and Garden,PS 125 Playground,Human Compass Garden,William B. Washington Memorial Garden,Isabahlia Community Garden
Huguenot Ponds Park R-131,Baisley Pond Park,Baisley Pond Park (Q-5),Canarsie Park,Dyckman House Museum,Zion Park/Loew Square
"599 LEXINGTON AVENUE, New York, NY 10022",Citigroup Center,"875 THIRD AVENUE, New York, NY 10022","575 FIFTH AVENUE, New York, NY 10017",Trump Tower,Crystal Pavilion
Hell's Kitchen Park,Stephen A Rudd Playground,Dome Playground,Colucci Playground,Gilbert Ramirez Park,Nicholas Naquan Heyward Jr. Park
Arden Heights Woods Park,Park Butter Avenue,Ingram Wood Park,Long Pond Park,Long Pond Park Addition,Brookfield Park
Carnegie Towers,Somerset,"985 FIFTH AVENUE, New York, NY 10075","200 EAST 90 STREET, New York, NY 10128",Fairmont,Caldwell
Latinos Unidos Garden,Campos Garden,Mobilization For Change,Imani II Garden,W. 111th St. Harlem Garden,La Plaza Cultural Garden
Schmul Park,Schmul Park,Cuyler Gore Garden,Cuyler Gore Park,Frank Frontera Park,Dugan Playground
Lopez Playground,Lopez Playground,Rivercross Lawn,Frank Frontera Park,Merriam Playground,811 Family and Friends Garden
Rev Lena Irons Unity Park,Osborn Playground,Seabury Park,Jerome Playground South,Railroad Playground,Madison Square Garden Assoc
Alexander Hamilton Square.Park,Castle Hill Houses Playground,Leif Ericson Park,Leif Ericson Playground,Leif Ericson Park & Square,Van Voorhees Park
Verizon Building,"130 WILLIAM STREET, New York, NY 10038",citizenM Bowery,Two Gold,"33 BEEKMAN STREET, New York, NY 10038","15 CLIFF STREET, New York, NY 10038"
Wolfes Pond Park   R-31,Wolfe's Pond Park,Crescent Beach.Park,Crescent Beach Park,Crescent Beach Park Addition,Manhattan Beach Park
Hancock Park,Southern Pkwy,Victory Garden's Group,Shield Of Faith,All People's Church of the Apostolic Faith Community Garden,Tudor Grove Playground
Flushing Meadows Park,Flushing Meadow Corona Park,Parks,Flushing Meadows/Corona Park,Van Wyck Playground,Park
Golconda Playground,Manh Br Anchor/Coleman Sq Plgd,Mariners Harbor Playground,River Avenue Park,Corporal Irwin Fischer Park,Marcus Garvey Park
